ccn,report_dat,shift,method,offense,block,xblock,yblock,ward,anc,district,psa,neighborho,block_grou,census_tra,voting_pre,latitude,longitude,start_date,end_date,objectid,octo_recor
12158316,2012-11-10T00:46:00.000Z,MIDNIGHT,OTHERS,SEX ABUSE,1000 1019  BLOCK OF 48TH STREET NE,405745,137269,7,7C,6,602,Cluster 31,007806 2,7806.0,Precinct 93,38.9032575515206,-76.93376750177751,2012-11-10T00:46:00.000Z,2012-11-10T00:46:00.000Z,312508145,12158316-02
12082912,2012-06-15T01:22:00.000Z,MIDNIGHT,OTHERS,SEX ABUSE,6900  - 7099 BLOCK OF GEORGIA AVENUE NW,397679,145199,4,4A,4,401,,010300 1,10300.0,Precinct 62,38.9747090208796,-77.0267849881669,2012-06-15T01:00:00.000Z,2012-06-15T01:15:00.000Z,312508164,12082912-01
12078242,2012-06-06T10:30:00.000Z,DAY,OTHERS,SEX ABUSE,600 - 699 BLOCK OF EMMANUEL COURT NW,398208,137658,6,6E,3,308,Cluster 7,004802 2,4802.0,Precinct 18,38.9067787472096,-77.02066048505539,2012-06-06T10:30:00.000Z,2012-06-06T10:30:00.000Z,312508318,12078242-01
12078242,2012-06-06T10:30:00.000Z,DAY,OTHERS,SEX ABUSE,600 - 699 BLOCK OF EMMANUEL COURT NW,398208,137658,6,6E,3,308,Cluster 7,004802 2,4802.0,Precinct 18,38.9067787472096,-77.02066048505539,2012-06-06T10:30:00.000Z,2012-06-06T10:30:00.000Z,312508319,12078242-02
12120140,2012-08-25T09:00:00.000Z,DAY,OTHERS,SEX ABUSE,5000  - 5099 BLOCK OF 4TH STREET NW,398475,142634,4,4D,4,407,Cluster 18,002202 3,2202.0,Precinct 56,38.951604600565,-77.0175932214592,2011-07-28T21:30:00.000Z,2011-07-28T22:00:00.000Z,312508320,12120140-01
12120140,2012-08-25T09:00:00.000Z,DAY,OTHERS,SEX ABUSE,5000  - 5099 BLOCK OF 4TH STREET NW,398475,142634,4,4D,4,407,Cluster 18,002202 3,2202.0,Precinct 56,38.951604600565,-77.0175932214592,2011-07-28T21:30:00.000Z,2011-07-28T22:00:00.000Z,312508321,12120140-02
7156111,2012-09-18T00:00:00.000Z,MIDNIGHT,GUN,HOMICIDE,1600 - 1899 BLOCK OF W STREET SE,401712,132801,8,8A,7,701,Cluster 28,007504 1,7504.0,Precinct 114,38.8630251949074,-76.9802739582516,2007-11-12T22:15:00.000Z,2007-11-12T23:59:00.000Z,312515103,07156111-01
8075756,2012-09-21T00:00:00.000Z,MIDNIGHT,GUN,HOMICIDE,1200 - 1249 BLOCK OF PLEASANT STREET SE,400912,132891,8,8A,7,701,Cluster 28,007503 1,7503.0,Precinct 114,38.8638371457259,-76.98949161528151,2008-06-03T23:08:00.000Z,2008-06-03T23:59:00.000Z,312528792,08075756-01
8254628,2012-10-06T00:00:00.000Z,MIDNIGHT,OTHERS,SEX ABUSE,2200 - 2399 BLOCK OF VIRGINIA AVENUE NW,395648,136591,2,2A,2,207,Cluster 5,005600 3,5600.0,Precinct 3,38.8971578862638,-77.05016869893551,2008-09-15T00:00:00.000Z,2008-09-15T23:59:00.000Z,312549021,08254628-01
9074624,2012-04-25T00:00:00.000Z,MIDNIGHT,OTHERS,SEX ABUSE,900 - 999 BLOCK OF 5TH STREET NE,400042,137118,6,6C,5,501,Cluster 25,010600 2,10600.0,Precinct 83,38.90191606318329,-76.9995158028952,2009-05-31T23:00:00.000Z,2009-06-01T06:00:00.000Z,312561816,09074624-01
